"County","Movement.Type","Tonnage"
"Clackamas, OR","II",7507.731
"Clackamas, OR","XI",14143.042
"Clark, WA","II",9838.853
"Clark, WA","XI",20036.3265
"Multnomah, OR","II",21926.323
"Multnomah, OR","XI",34155.074
"Washington, OR","II",11806.8585
"Washington, OR","XI",21418.9295
