"Shipment Size","Tonnage"
"Less than 50 lbs",11927.706
"50 - 99 lbs",284066.2485
"100 - 499 lbs",608272.254
"500 - 749 lbs",389997.8725
"750 - 999 lbs",587232.4775
"1,000 - 9,999 lbs",2276046.1185
"10,000 - 49,999 lbs",43312827.39
"50,000 - 99,999 lbs",14733390.2285
"100,000 lbs or more",15768454.545
