"County","Vehicle","N"
"Multnomah, OR","Light",118820
"Multnomah, OR","Medium",26814
"Multnomah, OR","Heavy",14763
"Washington, OR","Medium",13827
"Washington, OR","Light",56178
"Washington, OR","Heavy",7965
"Clackamas, OR","Light",32740
"Clackamas, OR","Medium",9594
"Clackamas, OR","Heavy",4894
"Clark, WA","Light",13794
"Clark, WA","Medium",3837
"Clark, WA","Heavy",2175
