"County","Vehicle","N"
"Multnomah, OR","Heavy",3397
"Multnomah, OR","Medium",11712
"Multnomah, OR","Light",1685
"Clackamas, OR","Heavy",1754
"Clackamas, OR","Light",586
"Clackamas, OR","Medium",5169
"Washington, OR","Medium",4973
"Washington, OR","Heavy",1688
"Washington, OR","Light",278
"External","Heavy",4014
"External","Medium",1014
"External","Light",1
"Clark, WA","Heavy",1258
"Clark, WA","Light",59
"Clark, WA","Medium",1190
