"County","Vehicle","N"
"Multnomah, OR","Heavy",3100
"Multnomah, OR","Medium",9130
"Multnomah, OR","Light",1232
"Washington, OR","Heavy",1597
"Washington, OR","Medium",6187
"Washington, OR","Light",689
"Clackamas, OR","Medium",4823
"Clackamas, OR","Heavy",1476
"Clackamas, OR","Light",499
"External","Heavy",4756
"External","Medium",1256
"External","Light",8
"Clark, WA","Medium",2662
"Clark, WA","Heavy",1182
"Clark, WA","Light",181
