"County","Vehicle","N"
"Multnomah, OR","Heavy",3039
"Multnomah, OR","Medium",9104
"Multnomah, OR","Light",1231
"Washington, OR","Heavy",1561
"Washington, OR","Medium",6192
"Washington, OR","Light",690
"Clackamas, OR","Medium",4835
"Clackamas, OR","Heavy",1541
"Clackamas, OR","Light",499
"External","Heavy",4756
"External","Medium",1256
"External","Light",8
"Clark, WA","Medium",2671
"Clark, WA","Heavy",1214
"Clark, WA","Light",181
