"Shipment Size","Shipments"
"Less than 50 lbs",3207
"50 - 99 lbs",29560
"100 - 499 lbs",13203
"500 - 749 lbs",3961
"750 - 999 lbs",4233
"1,000 - 9,999 lbs",4696
"10,000 - 49,999 lbs",9464
"50,000 - 99,999 lbs",1458
"100,000 lbs or more",701
