"Industry","Simulated","Target"
"Industrial",0.564707390551888,0.541
"Retail",0.451753489955737,0.394
"Service",0.504435895422784,0.498
"Transportation Handling",0.474668275030157,0.715
"Wholesale",0.511749347258486,0.203
