"Mode","Movement Type","Shipments"
"Air","EX",395769
"Air","II",9314
"Air","IM",330413
"Air","IX",1192830
"Air","XI",185490
"Multiple modes","EX",606014
"Multiple modes","II",56701
"Multiple modes","IM",476935
"Multiple modes","IX",2087039
"Multiple modes","XI",1395882
"Rail","II",7702
"Rail","IX",32008
"Rail","XI",87711
"Truck","II",3228695
"Truck","IX",7465964
"Truck","XI",4796255
"Water","II",1270
"Water","IX",7872
"Water","XI",29662
