"County","Movement.Type","Shipments"
"Clackamas, OR","II",1480
"Clackamas, OR","XI",3419
"Clark, WA","II",1436
"Clark, WA","XI",6799
"Multnomah, OR","II",4440
"Multnomah, OR","XI",7066
"Washington, OR","II",2769
"Washington, OR","XI",5341
