"Mode","Movement Type","Tonnage"
"Air","II",4.1185
"Air","IX",537.089
"Air","XI",209.346
"Multiple modes","II",3396.351
"Multiple modes","IX",27444.7505
"Multiple modes","XI",26590.1745
"Multiple modes","XX",11853.6875
"Rail","II",1344.38
"Rail","IX",4918.4045
"Rail","XI",14917.601
"Truck","II",46109.916
"Truck","IX",70500.597
"Truck","XI",44473.7505
"Water","II",225
"Water","IX",1125
"Water","XI",3562.5
